,Metro Parkway,Mountain View/ 25th Ave,25th Ave/ Dunlap,19th Ave/Dunlap,Northern/19th Ave,Glendale/19th Ave,19th Ave/Montebello,19th Ave/Camelback,7th Ave/Camelback,Central Ave/Camelback,Campbell/Central Ave,Indian School/Central Ave,Osborn/Central Ave,Thomas/Central Ave,Encanto/Central Ave,McDowell/Central Ave,Roosevelt/Central Ave,WB Van Buren/Central Ave,EB Van Buren/1st Ave,EB Jefferson/1st Ave,WB Washington/Central Ave,EB 3rd St/Jefferson,WB 3rd St/Washington,WB 12th St/Washington,EB 12th St/Jefferson,EB 24th St/Jefferson,WB 24th St/Washington,38th St/Washington,44th St/Washington,50th St/Washington,Priest Dr/Washington St,Center Pkwy/Washington St,Mill Ave/Third St,Veterans Way/College Ave,University Dr/Rural,Dorsey/Apache Blvd,McClintock/Apache Blvd,Smith-Martin/Apache Blvd,Price-101 Fwy/Apache Blvd,Sycamore/Main St,Alma School/Main St,Country Club/Main St,Center/Main St,Mesa Dr/Main St,Stapley/Main St,Gilbert Rd/Main St
Campbell/Central Ave,0.0,0.0,0.0,958.2018154320832,462.57143333392776,691.3483254640987,1074.9882556405585,1068.971305414328,661.9429990604913,578.8792688238154,0.0,946.1657414145355,434.0223226724687,811.3499269407408,231.75863301300356,692.176080500943,471.9879528575416,367.3769799418975,514.3736456922082,224.24002231175086,377.36100192906457,413.3046163621086,282.26302391778944,116.95916147935287,125.84558932829403,146.51907928896512,196.94073429588101,224.7637873054805,467.1969032928858,95.57572205780556,170.1876887701872,50.05931498048744,167.48555538100936,207.38583216110845,102.3416788950521,222.05613087757732,153.44286659365847,45.98002577751115,71.33232109662568,90.81607850953706,72.06407197940159,55.67680643771504,26.436180600534197,38.21028242971723,23.65686552233499,73.2839722155237
Indian School/Central Ave,0.0,0.0,0.0,1541.035481971826,745.1245133821396,1117.996124447407,1758.9956545116565,1780.6833777983586,1076.492717481394,928.2123164035231,959.7832903406276,0.0,803.187054904519,1501.456749212675,428.88471416646905,1280.917721854647,873.4447331830912,679.8552956150801,951.8660477131278,414.96288254868165,698.3315324300958,764.7046143012415,522.2925884365524,215.87886144012396,232.20039552787887,267.4512808096526,359.3551959650756,405.08208617332616,838.5161143449797,170.992862746263,303.75011395582595,89.32705592952686,299.8046231934695,371.06799339478016,183.1702370081213,397.48737765948135,274.26678673246596,82.08554766823494,127.1026034017904,161.40600927016965,127.8683015814254,98.61033555571044,46.78263201828179,67.56614732238329,41.76414373960313,129.23588385831516
Osborn/Central Ave,0.0,0.0,0.0,678.0832617250683,328.46413871312626,494.93575897512244,787.9062265769725,811.2127954503719,476.28675909933713,406.63236937444276,420.32188702086506,766.797473349964,0.0,824.6897304547979,235.569324442959,703.5572003661263,479.74838756108926,373.4174635815055,522.8041438850024,227.91391758104356,383.5657835270024,419.84886841040606,286.8077173522206,117.91596584312462,126.74453135387954,142.99950663234162,191.98680147609176,211.95143993873512,435.8792782350934,88.4688805270281,156.67652677298355,46.080392621946096,155.5299664758732,192.39010578283953,95.04458545136575,206.35632181237824,142.06585704550508,42.439447226328504,65.52245995757993,82.88180193096218,65.49966227414384,50.37362127203248,23.868502171497475,34.43243196302897,21.232365436684013,65.59634035113133
Thomas/Central Ave,0.0,0.0,0.0,1310.0795382022857,635.1255083476472,958.8168416162874,1533.6413017421974,1588.894597159383,920.9883514716431,783.8044407413337,810.1289691441542,1477.9264505822248,850.2890943096334,0.0,524.0359327033287,1565.0990934676656,1067.222264287143,830.6848210627224,1162.9471105919342,506.97995265690855,853.2615168010207,933.681037433409,637.9087519120078,261.0735283801061,280.4725506446272,311.49459786336195,417.9256677566043,455.13427448886125,932.2750688536768,188.71978741072172,333.77136384761616,98.20373798277679,332.78636175584586,411.5428742647876,203.4591257825708,441.9777312090281,303.86105850200903,90.66912256036008,139.73737015406226,176.34116546963565,139.1572546944475,106.84577789996368,50.58941244414173,72.92986793813503,44.90765682567588,138.60906903805883
Encanto/Central Ave,0.0,0.0,0.0,357.74629397026047,173.58804559026794,262.5725892453549,421.9252409693073,439.5415524276893,251.5015142257682,213.41417664522572,220.5604427420793,402.37066115542916,231.49440677842787,499.4670128281276,0.0,516.8646004505399,352.4436580117677,274.3287215284132,384.0307147947283,167.41603699712851,281.7845353329031,308.1122319419923,210.57179769782758,85.39367223447749,91.65891609307116,99.22557162434565,132.9719066927638,142.1899013362715,289.81919252487114,58.492088315649916,103.35531455176572,30.439131469185707,103.77129343342958,128.2980568305803,63.511366796714725,138.10792614511863,94.78060175043564,28.239887638075,43.42401833496513,54.63207958354369,43.03423192082182,32.97333358476117,15.597790597224206,22.46653450259176,13.809531697897311,42.57341900820222
McDowell/Central Ave,0.0,0.0,0.0,1129.8148517377297,548.6316761525815,831.2570029476866,1340.5899564683552,1402.050378266012,793.7244690823288,672.0672011816295,694.5290716381866,1267.0364552497253,728.9593578436826,1572.7863122248557,544.9528476812093,0.0,1394.169359496467,1085.174402821925,1518.8166268334053,662.1387029321473,1114.6701342071733,1216.884631809253,832.1439505125569,331.2645316595606,355.1784057156299,370.982942433638,496.2090997492344,520.5711444393392,1056.0254603133837,212.62253562254924,375.890987815524,110.91197650891775,381.13817698750984,471.1877866974804,233.7357105504874,509.1282499166461,348.7242618782631,103.73511043162726,159.11962688027157,199.52531777155713,156.87096816653354,119.92971727465105,56.676336094703686,81.56064321843294,50.038980544836065,154.07464024231254
Roosevelt/Central Ave,0.0,0.0,0.0,761.2139196187453,369.7807410181791,560.7311674894715,905.8040837771042,948.8750275596453,534.4385887005391,452.0260219906924,467.10560627472813,852.1452567257406,490.26145677870636,1057.77447296549,366.5069056198435,1375.0733271093543,0.0,835.7988642022812,1169.5611615855814,509.91870388811043,858.5090212968332,935.0911021874867,639.8576391505064,249.76057597575698,267.7097860030476,273.4123096186423,365.18278839432645,379.7746089553446,768.8257122372382,154.69068617214737,273.80598415877097,80.91416066825491,279.50428107673076,345.5708720089241,171.6853581279741,374.4500125316341,256.20414522593506,76.14596051858906,116.64443206665463,145.99813763776194,114.67325148206342,87.56456415871558,41.35970027010001,59.49039532383051,36.462131426366106,112.19707802215105
WB Van Buren/Central Ave,0.0,0.0,0.0,599.4123324682485,291.29589231499716,442.10037861468044,715.3800705400878,750.5802481508798,420.4756694446464,355.28194457173174,367.1251186020645,669.7499338627032,385.324697748833,831.3664109507847,288.05919016434984,1080.7565078322136,843.955933225291,0.0,1100.5800922453427,484.15924099822445,816.0302714921165,881.5303148141379,603.4068803931295,225.4482499806623,242.07620694439777,241.2601797491682,321.50496376375014,331.99177774823136,670.9772363004168,135.01405578094665,239.67495420879794,71.01701393830714,247.2341287222235,305.7636433470673,152.29163131912,332.86831366576826,227.44961207286607,67.52506503123726,103.26584853249913,128.95519689673154,101.16677077411832,77.13659720793908,36.410924296854006,52.3411823141753,32.04101886562114,98.51430010463966
EB Van Buren/1st Ave,0.0,0.0,0.0,860.8115081471647,418.4125436586016,635.2779879129996,1028.6150788976322,1079.737983589145,603.4245779398104,509.18369471142626,526.0117617433997,959.5919957662791,552.0594252103741,1191.0520727460387,412.6586969345169,1547.9190570687051,1208.5246637376688,1126.253720837106,0.0,696.0551674811196,1168.8571896318533,1256.1235334581022,859.1375621495977,319.78759976680186,343.4299720438216,342.0935932697347,455.8528914114516,470.6924466781054,951.2878553172528,191.42020230222215,339.82803843463427,100.69946681859098,350.65100745386,433.66928750433607,216.01950442966714,472.2056509179413,322.6426776756213,95.78200738417387,146.47052875177113,182.89394364415185,143.47724073764698,109.39233223607097,51.635742132757905,74.2258687583889,45.436432980172896,139.69748772928932
EB Jefferson/1st Ave,0.0,0.0,0.0,370.8177160582774,180.27678137728395,273.83079231367435,443.71958565175987,466.0823211346069,259.77709246681997,219.08089003736364,226.31263187234626,412.856335600038,237.51802590861442,512.4370152310711,177.54196417958562,665.994740005031,520.010895716659,488.9694574790119,686.9459749022087,0.0,540.1240748778978,584.931370153016,395.14924538785846,145.33881260657702,156.52425686562637,155.17761247078488,206.51393264603482,213.06621462027564,430.50998178689184,86.67791847612429,154.21355938268974,45.77486774095767,160.10568411883344,198.06210722124217,98.81324774731044,216.2941232895203,147.69250071730352,43.821753501730804,66.95915162423724,83.51657728307488,65.48201781293194,49.89070031488798,23.54250433008207,33.83267220282194,20.6982929909048,63.614599896031116
