route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
90,Local_Sunday_10_2307-PHNS_0000001,18965221,"Rose Garden+Cave Crk",0,,900054,7190
170,Local_Sunday_10_2307-PHNS_0000001,18965222,"51st Ave+Bell",1,,1700058,7600
90,Local_Sunday_10_2307-PHNS_0000001,18965223,"Rose Garden+Cave Crk",0,,900054,7187
90,Local_Sunday_10_2307-PHNS_0000001,18965224,"Rose Garden+Cave Crk",0,,900054,7185
170,Local_Sunday_10_2307-PHNS_0000001,18965225,"Arrowhead Ctr",1,,1700056,7594
90,Local_Sunday_10_2307-PHNS_0000001,18965226,"Rose Garden+Cave Crk",0,,900054,7184
170,Local_Sunday_10_2307-PHNS_0000001,18965227,"51st Ave+Bell",1,,1700058,7605
170,Local_Sunday_10_2307-PHNS_0000001,18965228,"51st Ave+Bell",1,,1700058,7613
170,Local_Sunday_10_2307-PHNS_0000001,18965229,"Arrowhead Ctr",1,,1700056,7593
90,Local_Sunday_10_2307-PHNS_0000001,18965230,"Rose Garden+Cave Crk",0,,900054,7186
170,Local_Sunday_10_2307-PHNS_0000001,18965231,"Arrowhead Ctr",1,,1700056,7589
90,Local_Sunday_10_2307-PHNS_0000001,18965232,"Rose Garden+Cave Crk",0,,900054,7180
90,Local_Sunday_10_2307-PHNS_0000001,18965233,"Rose Garden+Cave Crk",0,,900054,7182
170,Local_Sunday_10_2307-PHNS_0000001,18965234,"51st Ave+Bell",1,,1700058,7615
90,Local_Sunday_10_2307-PHNS_0000001,18965235,"Rose Garden+Cave Crk",0,,900054,7178
90,Local_Sunday_10_2307-PHNS_0000001,18965236,"Rose Garden+Cave Crk",0,,900054,7191
170,Local_Sunday_10_2307-PHNS_0000001,18965237,"Arrowhead Ctr",1,,1700056,7601
90,Local_Sunday_10_2307-PHNS_0000001,18965238,"Rose Garden+Cave Crk",0,,900054,7174
44,Local_Sunday_10_2307-PHNS_0000001,18965239,"Sky Train 44th St",1,,440024,6780
170,Local_Sunday_10_2307-PHNS_0000001,18965240,"51st Ave+Bell",1,,1700058,7611
90,Local_Sunday_10_2307-PHNS_0000001,18965241,"Rose Garden+Cave Crk",0,,900054,7188
16,Local_Sunday_10_2307-PHNS_0000001,18965242,"Dobbins+Central",1,,160062,6252
44,Local_Sunday_10_2307-PHNS_0000001,18965243,"Sky Train 44th St",1,,440026,6777
16,Local_Sunday_10_2307-PHNS_0000001,18965244,"Union Hills/PVCC",0,,160061,6214
70,Local_Sunday_10_2307-PHNS_0000001,18965245,"24th St+Baseline PNR",0,,700086,7024
44,Local_Sunday_10_2307-PHNS_0000001,18965246,"Sky Train 44th St",1,,440024,6785
70,Local_Sunday_10_2307-PHNS_0000001,18965247,"24th St+Baseline PNR",0,,700086,7034
70,Local_Sunday_10_2307-PHNS_0000001,18965248,"24th St+Baseline PNR",0,,700086,7032
16,Local_Sunday_10_2307-PHNS_0000001,18965249,"Dobbins+Central",1,,160062,6257
70,Local_Sunday_10_2307-PHNS_0000001,18965250,"24th St+Baseline PNR",0,,700086,7030
70,Local_Sunday_10_2307-PHNS_0000001,18965251,"24th St+Baseline PNR",0,,700086,7037
16,Local_Sunday_10_2307-PHNS_0000001,18965252,"Union Hills/PVCC",0,,160061,6211
39,Local_Sunday_10_2307-PHNS_0000001,18965253,"Dreamy Draw PNR",1,,390008,6711
16,Local_Sunday_10_2307-PHNS_0000001,18965254,"Dobbins+Central",1,,160062,6255
70,Local_Sunday_10_2307-PHNS_0000001,18965255,"24th St+Baseline PNR",0,,700086,7035
70,Local_Sunday_10_2307-PHNS_0000001,18965256,"24th St+Baseline PNR",0,,700086,7033
39,Local_Sunday_10_2307-PHNS_0000001,18965257,"Dreamy Draw PNR",1,,390008,6708
70,Local_Sunday_10_2307-PHNS_0000001,18965258,"24th St+Baseline PNR",0,,700086,7028
16,Local_Sunday_10_2307-PHNS_0000001,18965259,"Dobbins+Central",1,,160062,6258
39,Local_Sunday_10_2307-PHNS_0000001,18965260,"Dreamy Draw PNR",1,,390008,6713
70,Local_Sunday_10_2307-PHNS_0000001,18965261,"24th St+Baseline PNR",0,,700086,7038
70,Local_Sunday_10_2307-PHNS_0000001,18965262,"24th St+Baseline PNR",0,,700086,7029
16,Local_Sunday_10_2307-PHNS_0000001,18965263,"Dobbins+Central",1,,160062,6254
16,Local_Sunday_10_2307-PHNS_0000001,18965264,"Dobbins+Central",1,,160062,6256
70,Local_Sunday_10_2307-PHNS_0000001,18965265,"24th St+Baseline PNR",0,,700086,7036
39,Local_Sunday_10_2307-PHNS_0000001,18965266,"Dreamy Draw PNR",1,,390008,6709
70,Local_Sunday_10_2307-PHNS_0000001,18965267,"24th St+Baseline PNR",0,,700086,7031
39,Local_Sunday_10_2307-PHNS_0000001,18965268,"Dreamy Draw PNR",1,,390008,6714
39,Local_Sunday_10_2307-PHNS_0000001,18965269,"Dreamy Draw PNR",1,,390008,6712
70,Local_Sunday_10_2307-PHNS_0000001,18965270,"24th St+Baseline PNR",0,,700086,7025
16,Local_Sunday_10_2307-PHNS_0000001,18965271,"Dobbins+Central",1,,160062,6253
70,Local_Sunday_10_2307-PHNS_0000001,18965272,"24th St+Baseline PNR",0,,700086,7027
70,Local_Sunday_10_2307-PHNS_0000001,18965273,"24th St+Baseline PNR",0,,700086,7021
16,Local_Sunday_10_2307-PHNS_0000001,18965274,"Dobbins+Central",1,,160062,6259
