link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000039,1500064,1500065,tram,1,RAIL.2,1,service_links,625.701336965724,1,999999,14.439261622285937,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073794   33.486860, -112.073761   33.481233)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,10,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000040,1500065,1500066,tram,1,RAIL.2,1,service_links,842.6425247506634,1,999999,19.445596725015307,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073761   33.481233, -112.073799   33.473655)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,11,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000041,1500066,1500067,tram,1,RAIL.2,1,service_links,995.417605650422,1,999999,22.971175515009737,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073799   33.473655, -112.073811   33.464703)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,12,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000042,1500067,1500068,tram,1,RAIL.2,1,service_links,590.9587523921517,1,999999,13.637509670588114,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073811   33.464703, -112.074011   33.459391)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,13,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000043,1500068,1500069,tram,1,RAIL.2,1,service_links,842.7011076607323,1,999999,19.44694863832459,0,2,999999.0,0.15,4,0,"LINESTRING (-112.074011   33.459391, -112.075038   33.451861)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,14,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000044,1500069,1500070,tram,1,RAIL.2,1,service_links,449.37319090860785,1,999999,7.48955318181013,0,3,999999.0,0.15,4,0,"LINESTRING (-112.075038   33.451861, -112.075234   33.447823)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,15,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000045,1500070,1500071,tram,1,RAIL.2,1,service_links,577.1391494765886,1,999999,13.318595757152044,0,2,999999.0,0.15,4,0,"LINESTRING (-112.075234   33.447823, -112.069297   33.446274)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,16,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000046,1500071,1500072,tram,1,RAIL.2,1,service_links,1269.0568278630926,1,999999,21.150947131051545,0,3,999999.0,0.15,4,0,"LINESTRING (-112.069297   33.446274, -112.055664   33.447199)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,17,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000047,1500072,1500073,tram,1,RAIL.2,1,service_links,2449.589735600723,1,999999,31.951170464357258,0,4,999999.0,0.15,4,0,"LINESTRING (-112.055664   33.447199, -112.029262   33.447229)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,18,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000048,1500073,1500074,tram,1,RAIL.2,1,service_links,13378.130803995437,1,999999,5.0,0,-43,999999.0,0.15,4,0,"LINESTRING (-112.029262   33.447229, -112.099612   33.552270)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,19,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000049,1500074,1500075,tram,1,RAIL.2,1,service_links,14821.708238417104,1,999999,18.682825510609796,0,47,999999.0,0.15,4,0,"LINESTRING (-112.099612   33.552270, -111.999879   33.448102)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,2,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000050,1500075,1500076,tram,1,RAIL.2,1,service_links,1104.0063562717826,1,999999,25.47706976011806,0,2,999999.0,0.15,4,0,"LINESTRING (-111.999879   33.448102, -111.987980   33.448168)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,20,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000051,1500076,1500077,tram,1,RAIL.2,1,service_links,1190.6313691676778,1,999999,27.4761085192541,0,2,999999.0,0.15,4,0,"LINESTRING (-111.987980   33.448168, -111.975231   33.446946)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,21,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000052,1500077,1500078,tram,1,RAIL.2,1,service_links,1857.401895814227,1,999999,30.956698263570445,0,3,999999.0,0.15,4,0,"LINESTRING (-111.975231   33.446946, -111.956107   33.442008)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,22,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000053,1500078,1500079,tram,1,RAIL.2,1,service_links,985.563762554123,1,999999,22.743779135864376,0,2,999999.0,0.15,4,0,"LINESTRING (-111.956107   33.442008, -111.946605   33.438047)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,23,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000054,1500079,1500080,tram,1,RAIL.2,1,service_links,1299.4262170996005,1,999999,21.657103618326673,0,3,999999.0,0.15,4,0,"LINESTRING (-111.946605   33.438047, -111.940697   33.427452)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,24,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000055,1500080,1500081,tram,1,RAIL.2,1,service_links,465.63869446201744,1,999999,7.76064490770029,0,3,999999.0,0.15,4,0,"LINESTRING (-111.940697   33.427452, -111.935961   33.426069)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,25,RAIL.2:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
