path_id,service_route_id,o_zone_id,d_zone_id,unique_route_id,agent_type,demand_period,toll,travel_time,distance,link_sequence,node_sequence,geometry,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,seed_od_volume,target_od_volume,final_est_od_volume,volume
1077,1,15,48,2,transit,AM,0,49.1682,45978.4,132;652;630;664;622;610;636;715;682;658;745;604;616;676;721;694;670;738,15;190;179;196;174;168;182;222;205;193;237;165;171;202;225;211;199;234;48,,0.869169,15;190;179;196;174;168;182;222;205;193;237;165;171;202;225;211;199;234;48,132;652;630;664;622;610;636;715;682;658;745;604;616;676;721;694;670;738,28.5758,45.9784,49.1682,49.1682,3416_11465,2,0,2,1.73834
1078,0,15,48,1,transit,AM,0,49.1682,45978.4,131;650;628;662;620;608;634;713;680;656;743;602;614;674;719;692;668;736,15;189;178;195;173;167;181;221;204;192;236;164;170;201;224;210;198;233;48,,0.130831,15;189;178;195;173;167;181;221;204;192;236;164;170;201;224;210;198;233;48,131;650;628;662;620;608;634;713;680;656;743;602;614;674;719;692;668;736,28.5758,45.9784,49.1682,49.1682,3399_11430,2,0,2,0.261662
1079,0,15,49,1,transit,AM,0,61.9574,57982.1,130;578;568;585;566;564;574;591;589;581;597;587;583;576;593;570;572;594,15;151;146;155;145;144;149;158;157;153;161;156;154;150;159;147;148;160;49,,1,15;151;146;155;145;144;149;158;157;153;161;156;154;150;159;147;148;160;49,130;578;568;585;566;564;574;591;589;581;597;587;583;576;593;570;572;594,36.0361,57.9821,61.9574,61.9574,2657_9998,2,0,2,2
1080,4,15,50,4,transit,AM,0,22.6616,21099.7,138;1092;1086;1100;1082;1078;1088;1112;1106;1098;1121,15;415;412;419;410;408;413;425;422;418;430;50,,0.0239468,15;415;412;419;410;408;413;425;422;418;430;50,138;1092;1086;1100;1082;1078;1088;1112;1106;1098;1121,13.1136,21.0997,22.6616,22.6616,4237_11101,2,0,2,0.0478935
1081,2,15,50,3,transit,AM,0,22.6616,21099.7,136;990;980;1000;978;976;986;1012;1010;992;1025,15;364;358;369;357;356;362;375;374;365;382;50,,0.542988,15;364;358;369;357;356;362;375;374;365;382;50,136;990;980;1000;978;976;986;1012;1010;992;1025,13.1136,21.0997,22.6616,22.6616,3727_10085,2,0,2,1.08598
1082,1,15,50,2,transit,AM,0,22.6616,21099.7,132;652;630;664;622;610;636;715;682;658;744,15;190;179;196;174;168;182;222;205;193;237;50,,0.119617,15;190;179;196;174;168;182;222;205;193;237;50,132;652;630;664;622;610;636;715;682;658;744,13.1136,21.0997,22.6616,22.6616,2011_6745,2,0,2,0.239234
1083,0,15,50,1,transit,AM,0,22.6616,21099.7,130;578;568;585;566;564;574;591;589;581;596,15;151;146;155;145;144;149;158;157;153;161;50,,0.313448,15;151;146;155;145;144;149;158;157;153;161;50,130;578;568;585;566;564;574;591;589;581;596,13.1136,21.0997,22.6616,22.6616,1584_5922,2,0,2,0.626896
1084,0,16,1,1,transit,AM,0,8.18839,7515.49,142;870;863;882;861;858,16;302;298;308;297;296;1,,1,16;302;298;308;297;296;1,142;870;863;882;861;858,4.67091,7.51549,8.18839,8.18839,1518_4476,9,0,9,9
1085,0,16,2,1,transit,AM,0,24.0547,22407.3,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1029,16;392;387;396;385;383;406;394;398;401;389;384;2,,1,16;392;387;396;385;383;406;394;398;401;389;384;2,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1029,13.9262,22.4073,24.0546,24.0547,4333_11652,5,0,5,5
1086,0,16,3,1,transit,AM,0,7.58222,6946.56,142;870;863;882;860,16;302;298;308;297;3,,1,16;302;298;308;297;3,142;870;863;882;860,4.31731,6.94656,7.58222,7.58222,1224_3617,10,0,10,10
1087,0,16,4,1,transit,AM,0,25.5698,23829.3,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1030;1033,16;392;387;396;385;383;406;394;398;401;389;384;386;4,,1,16;392;387;396;385;383;406;394;398;401;389;384;386;4,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1030;1033,14.81,23.8293,25.5697,25.5698,4721_12686,4,0,4,4
1088,0,16,6,1,transit,AM,0,2.23658,1929.25,142;870;862,16;302;298;6,,1,16;302;298;6,142;870;862,1.19903,1.92925,2.23658,2.23658,622_1874,4,0,4,4
1089,0,16,7,1,transit,AM,0,30.129,28108.4,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1030;1034;1052;1037,16;392;387;396;385;383;406;394;398;401;389;384;386;395;388;7,,1,16;392;387;396;385;383;406;394;398;401;389;384;386;395;388;7,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1030;1034;1052;1037,17.4695,28.1084,30.1289,30.129,5507_14776,2,0,2,2
1090,0,16,9,1,transit,AM,0,73.0304,68375,142;870;863;882;861;859;880;876;868;892;865;878;894;896;874;898;884;866,16;302;298;308;297;296;307;305;301;313;299;306;314;315;304;316;309;300;9,,1,16;302;298;308;297;296;307;305;301;313;299;306;314;315;304;316;309;300;9,142;870;863;882;861;859;880;876;868;892;865;878;894;896;874;898;884;866,42.4953,68.375,73.0304,73.0304,5215_15048,1,0,1,1
