route_key,mode,o_zone_id,d_zone_id,volume,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,google_maps_http_link,WKT_geometry
5_43_transit,transit,5,43,11,57.1503,91.9548,42.4461,68.2958,1.34642,103.876,107.131,"https://www.google.com/maps/dir/37.995415,-121.780353/37.616023,-122.391895/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.124744 37.893120,-122.183817 37.878403,-122.251371 37.844695,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.466267 37.684542,-122.444354 37.664337,-122.416484 37.637620,-122.391995 37.615923,-122.391895 37.616023)"
5_48_transit,transit,5,48,15,20.8349,33.5233,16.8191,27.0619,1.23876,34.8556,35.2432,"https://www.google.com/maps/dir/37.995415,-121.780353/37.905812,-122.067379/","LINESTRING(-121.780353 37.995415,-121.780453 37.995315,-121.889111 38.016773,-121.944348 38.018850,-122.024661 38.003307,-122.029226 37.973673,-122.056115 37.928363,-122.067479 37.905712,-122.067379 37.905812)"
6_2_transit,transit,6,2,12,12.7475,20.5108,10.1947,16.4033,1.25041,28.8593,44.2157,"https://www.google.com/maps/dir/37.853069,-122.269750/37.765176,-122.419755/","LINESTRING(-122.269750 37.853069,-122.269850 37.852969,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.419755 37.765176)"
6_11_transit,transit,6,11,23,11.7102,18.8417,9.36822,15.0735,1.24999,26.8582,42.209,"https://www.google.com/maps/dir/37.853069,-122.269750/37.779450,-122.413879/","LINESTRING(-122.269750 37.853069,-122.269850 37.852969,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.413879 37.779450)"
6_19_transit,transit,6,19,33,10.4095,16.749,8.10196,13.036,1.28482,21.8552,36.7854,"https://www.google.com/maps/dir/37.853069,-122.269750/37.792789,-122.397080/","LINESTRING(-122.269750 37.853069,-122.269850 37.852969,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.397080 37.792789)"
6_29_transit,transit,6,29,29,10.7605,17.3136,8.44311,13.585,1.27447,22.8562,38.0275,"https://www.google.com/maps/dir/37.853069,-122.269750/37.789213,-122.401642/","LINESTRING(-122.269750 37.853069,-122.269850 37.852969,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.401642 37.789213)"
7_2_transit,transit,7,2,41,3.56167,5.73073,3.36142,5.40853,1.05957,7.85356,7.88681,"https://www.google.com/maps/dir/37.721758,-122.447510/37.765176,-122.419755/","LINESTRING(-122.447510 37.721758,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.419755 37.765176)"
7_4_transit,transit,7,4,17,2.67768,4.30839,2.64546,4.25655,1.01218,5.85258,5.87557,"https://www.google.com/maps/dir/37.721758,-122.447510/37.752422,-122.418518/","LINESTRING(-122.447510 37.721758,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.418518 37.752422)"
7_11_transit,transit,7,11,94,4.59903,7.39984,4.38923,7.06227,1.0478,9.85453,10.0218,"https://www.google.com/maps/dir/37.721758,-122.447510/37.779450,-122.413879/","LINESTRING(-122.447510 37.721758,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.413879 37.779450)"
7_19_transit,transit,7,19,77,5.89965,9.49254,5.62812,9.05565,1.04825,14.8575,15.2045,"https://www.google.com/maps/dir/37.721758,-122.447510/37.792789,-122.397080/","LINESTRING(-122.447510 37.721758,-122.447610 37.721658,-122.433657 37.733169,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.397080 37.792789)"
